url_length,domain_length,path_length,subdomain_length,num_dots,num_hyphens,num_underscores,num_at_symbols,num_question_marks,num_equals,num_slashes,num_percent,num_digits_in_domain,has_ip_address,has_https,num_subdomains,has_suspicious_tld,is_shortened_url,has_port,has_brand_in_subdomain,has_brand_in_path,entropy,digit_ratio,special_char_ratio,label
28,10,0,5,3,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,2.6464,0.0,0.21428571428571427,0
89,13,69,0,4,2,0,0,0,0,7,0,10,1,0,0,0,0,0,0,0,2.8731,0.3258426966292135,0.15730337078651685,1
40,13,20,0,4,0,0,0,0,0,5,0,10,1,0,0,0,0,0,0,1,2.4493,0.25,0.25,1
65,14,44,0,3,0,0,0,0,0,5,0,11,1,0,0,0,0,0,0,0,2.9852,0.5076923076923077,0.13846153846153847,1
40,14,19,0,3,1,0,0,0,0,4,0,11,1,0,0,0,0,0,0,0,2.6106,0.275,0.225,1
28,12,0,3,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,3.2516,0.0,0.17857142857142858,0
49,8,22,7,3,1,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,2.75,0.10204081632653061,0.1836734693877551,1
26,5,0,8,4,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,2.3219,0.038461538461538464,0.2692307692307692,0
65,6,0,46,5,4,0,0,0,0,2,0,0,0,1,4,0,0,0,1,0,2.2516,0.0,0.18461538461538463,0
107,8,80,7,3,1,0,0,0,0,10,0,0,0,0,1,0,1,0,0,1,2.75,0.14953271028037382,0.14018691588785046,1
234,17,33,16,6,0,0,0,1,1,8,0,0,0,0,5,0,1,0,0,1,3.1751,0.1623931623931624,0.07264957264957266,1
57,9,0,35,6,1,0,0,0,0,2,0,0,0,1,5,0,1,0,0,0,2.9477,0.03508771929824561,0.17543859649122806,0
32,7,0,12,4,1,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,2.5216,0.0,0.25,0
23,7,0,3,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2.8074,0.0,0.21739130434782608,0
396,14,10,0,24,0,18,1,2,9,21,1,11,1,0,0,0,0,0,0,0,2.6106,0.047979797979797977,0.22474747474747475,1
45,7,0,25,4,1,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,2.5216,0.0,0.17777777777777778,0
97,8,70,7,2,2,0,0,0,0,5,0,0,0,0,1,0,1,0,0,1,2.75,0.1134020618556701,0.10309278350515463,1
25,7,0,5,3,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,2.5216,0.0,0.24,0
33,10,0,10,3,2,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,3.3219,0.06060606060606061,0.24242424242424243,0
56,14,0,29,3,2,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,3.182,0.0,0.14285714285714285,0
51,10,0,28,3,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,2.9219,0.0,0.11764705882352941,0
243,13,65,0,4,1,1,0,1,3,8,2,10,1,0,0,0,0,0,0,1,2.4116,0.34156378600823045,0.09876543209876543,1
37,11,19,0,3,1,0,0,0,0,4,0,8,1,0,0,0,0,0,0,0,2.8454,0.21621621621621623,0.24324324324324326,1
38,13,0,12,3,1,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,3.0851,0.0,0.18421052631578946,0
100,14,79,0,3,2,0,0,0,0,6,0,11,1,0,0,0,0,0,0,1,2.5027,0.38,0.13,1
45,6,0,26,6,1,0,0,0,0,2,0,0,0,1,5,0,0,0,1,0,2.2516,0.0,0.2222222222222222,0
37,7,6,12,2,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2.5216,0.24324324324324326,0.24324324324324326,1
42,6,0,23,5,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,2.2516,0.023809523809523808,0.19047619047619047,0
22,6,0,3,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1.4591,0.0,0.22727272727272727,0
